operation;value;success;time_ns;operations
delete;23942;true;1100;29
delete;757;true;2400;173
delete;63538;true;1300;93
delete;12715;true;30800;2629
delete;20269;true;45500;4093
delete;71410;true;18000;1595
delete;58577;true;2100;137
delete;37243;true;1100;39
delete;23681;true;800;23
delete;57104;true;13500;1175
delete;18830;true;39700;3799
delete;12345;true;25900;2557
delete;52754;true;4300;331
delete;39759;true;900;39
delete;69469;true;14200;1249
delete;41927;true;4400;319
delete;31062;true;1800;87
delete;70143;true;13400;1381
delete;207;true;1000;49
delete;63123;true;38800;1037
delete;43440;true;2800;175
delete;82162;true;4500;305
delete;6810;true;16500;1421
delete;82450;true;4000;355
delete;25104;true;1500;69
delete;22181;true;1300;65
delete;41671;true;2600;243
delete;56433;true;13800;1035
delete;50771;true;8800;749
delete;1972;true;3800;421
delete;4193;true;9200;867
delete;30413;true;900;31
delete;94788;true;34100;2953
delete;37914;true;1100;52
delete;17930;true;39800;3637
delete;67726;true;10500;921
delete;68518;true;9700;1073
delete;71971;true;18800;1717
delete;92067;true;52000;2353
delete;73405;true;30400;1989
delete;69425;true;11800;1243
delete;20587;true;48800;4171
delete;26821;true;1800;101
delete;58293;true;1200;69
delete;14359;true;27600;2925
delete;11707;true;21500;2409
delete;83908;true;7700;671
delete;80105;true;36700;3385
delete;94447;true;33000;2877
delete;275;true;1000;67
delete;11474;true;41300;2359
delete;33370;true;1400;67
delete;73943;true;23300;2113
delete;75536;true;25900;2507
delete;75974;true;26500;2611
delete;13402;true;28900;2743
delete;34700;true;1000;29
delete;13944;true;31500;2839
delete;60112;true;5600;421
delete;33722;true;1300;31
delete;28759;true;1000;23
delete;34124;true;1900;113
delete;83052;true;5800;481
delete;62782;true;11400;975
delete;53268;true;5300;427
delete;89771;true;20900;1891
delete;34172;true;900;27
delete;45056;true;5500;465
delete;71701;true;19000;1677
delete;25903;true;15400;99
delete;24758;true;1400;63
delete;93864;true;30700;2749
delete;17018;true;38000;3431
delete;9568;true;20100;1983
delete;53226;true;5100;415
delete;64328;true;4700;235
delete;70828;true;51400;1491
delete;4289;true;10400;879
delete;68508;true;11600;1071
delete;41789;true;4000;279
delete;85363;true;11400;979
delete;65544;true;17300;449
delete;36324;true;1700;89
delete;22646;true;2600;159
delete;64015;true;2200;179
delete;51924;true;2100;161
delete;83879;true;20600;663
delete;899;true;2900;215
delete;3145;true;6700;625
delete;66943;true;7800;737
delete;87626;true;15700;1457
delete;40235;true;2300;137
delete;37046;true;1100;31
delete;86071;true;12100;1125
delete;93213;true;26800;2589
delete;88382;true;16200;1615
delete;3064;true;6500;609
delete;49684;true;6500;523
delete;88073;true;19700;1547
delete;49442;true;5100;471
delete;95889;true;70200;3199
delete;45970;true;8900;681
delete;41261;true;2200;163
delete;45347;true;5700;533
delete;62515;true;10700;913
delete;97421;true;323700;3479
delete;81672;true;3800;215
delete;2003;true;6200;427
delete;95876;true;37900;3197
delete;17918;true;47500;3631
delete;23657;true;800;29
delete;77862;true;35900;2993
delete;57525;true;15900;1299
delete;93583;true;28700;2675
delete;92745;true;1000300;2495
delete;51614;true;3900;109
delete;51481;true;1300;73
