operation;value;success;time_ns;operations
insert;13148;true;22200;221
insert;35678;true;1300;29
insert;88954;true;1800;154
insert;2467;true;13000;130
insert;6584;true;12400;169
insert;95026;true;3300;195
insert;77460;true;2300;183
insert;71971;true;1900;140
insert;11504;true;16100;216
insert;77523;true;2600;189
insert;99558;true;3500;222
insert;66240;true;1400;112
insert;63931;true;1100;99
insert;71587;true;1800;144
insert;28416;true;21700;46
insert;72425;true;2100;161
insert;53659;true;1200;62
insert;34001;true;7800;33
insert;5164;true;12900;163
insert;46192;true;1300;60
insert;62989;true;1800;80
insert;48839;true;900;56
insert;36352;true;8200;48
insert;64750;true;1400;108
insert;50483;true;1300;75
insert;16419;true;13800;248
insert;41790;true;2200;65
insert;67045;true;1500;123
insert;49368;true;1000;64
insert;28664;true;26700;67
insert;98038;true;3300;217
insert;42981;true;1000;41
insert;25362;true;19200;56
insert;74860;true;3200;186
insert;54994;true;1500;75
insert;34762;true;13000;41
insert;51399;true;900;46
insert;62775;true;1700;84
insert;76052;true;2700;199
insert;53843;true;1400;73
insert;77983;true;3500;226
insert;20707;true;16900;277
insert;43670;true;13500;62
insert;50807;true;1500;83
insert;63416;true;1000;101
insert;36903;true;1300;30
insert;28274;true;23700;46
insert;98451;true;3200;225
insert;31505;true;1400;23
insert;88402;true;2300;158
insert;6717;true;2500;166
insert;87412;true;2500;149
insert;76978;true;3200;213
insert;66199;true;1300;130
insert;28366;true;1300;30
insert;21413;true;3600;271
insert;99631;true;3500;240
insert;65558;true;1200;127
insert;92115;true;2000;193
insert;6960;true;1600;170
insert;17391;true;2800;253
insert;59675;true;1100;68
insert;98107;true;3200;234
insert;98742;true;3200;243
insert;27907;true;800;27
insert;55128;true;1600;89
insert;40478;true;1300;62
insert;11821;true;3300;222
insert;11771;true;3000;221
insert;81097;true;1200;110
insert;71145;true;2200;168
insert;65894;true;1600;135
insert;10874;true;2600;210
insert;27027;true;1700;38
insert;10865;true;2700;211
insert;16074;true;3200;256
insert;17207;true;3900;267
insert;84518;true;2000;141
insert;91334;true;2700;196
insert;11398;true;3300;226
insert;58515;true;1200;55
insert;52792;true;1300;64
insert;21448;true;3900;301
insert;67596;true;1700;146
insert;82382;true;1300;125
insert;26893;true;1200;40
insert;21098;true;4000;300
insert;97495;true;3300;242
insert;63782;true;1200;117
insert;14869;true;3600;257
insert;9418;true;2500;210
insert;84026;true;1800;143
insert;76122;true;3800;228
insert;28322;true;1000;34
insert;96376;true;3300;238
insert;81152;true;1100;119
insert;1339;true;1300;135
insert;23285;true;1400;26
insert;17083;true;3100;280
insert;13099;true;3000;259
insert;83987;true;1600;148
insert;24017;true;15300;45
insert;25750;true;900;35
insert;67696;true;1700;153
insert;91894;true;2300;217
insert;81982;true;20200;132
insert;48706;true;1500;59
insert;34640;true;1900;36
insert;83707;true;1700;149
insert;91808;true;2900;222
insert;62387;true;1500;90
insert;77141;true;2900;242
insert;83003;true;1400;147
insert;4410;true;1600;164
insert;99996;true;4400;293
insert;30658;true;1400;30
insert;75608;true;2800;225
insert;99701;true;3700;295
insert;2196;true;1400;143
insert;58565;true;1000;59
insert;47236;true;800;50
insert;59628;true;1400;76
insert;91596;true;2700;226
insert;16677;true;4000;288
insert;84090;true;2300;167
insert;94242;true;3300;256
insert;48028;true;1100;55
insert;92212;true;3400;245
insert;908;true;1200;135
insert;29195;true;1400;30
insert;29786;true;1400;29
insert;64892;true;1400;134
insert;70310;true;2100;187
insert;74625;true;2900;224
insert;81303;true;1300;134
insert;18225;true;4400;314
insert;11192;true;4400;249
insert;70656;true;2800;191
insert;14698;true;3700;282
insert;82749;true;1700;153
insert;78456;true;8200;282
insert;37987;true;15100;53
insert;76180;true;3800;251
insert;97648;true;3500;292
insert;53756;true;2200;79
insert;67786;true;2300;166
insert;85352;true;1800;193
insert;38551;true;1000;49
insert;54654;true;1500;90
insert;63082;true;1900;104
insert;43332;true;1100;48
insert;50670;true;2800;96
insert;38973;true;1000;52
insert;48926;true;1300;77
insert;99229;true;3900;316
insert;32573;true;1700;31
insert;99131;true;3900;317
insert;33732;true;1400;32
insert;61300;true;2100;96
insert;55033;true;1600;97
insert;22285;true;16500;40
insert;72609;true;2900;219
insert;49254;true;1400;82
insert;89623;true;3100;228
insert;15556;true;19200;302
insert;44233;true;2000;57
insert;95453;true;4300;285
insert;5692;true;2200;192
insert;52978;true;1400;70
insert;36426;true;3200;34
insert;50771;true;2200;105
insert;67455;true;1900;164
insert;74389;true;2700;235
insert;30053;true;8700;54
insert;6981;true;2300;207
insert;40453;true;1500;67
insert;36276;true;7800;44
insert;50022;true;1900;96
insert;80153;true;4500;310
insert;97330;true;4200;300
insert;22912;true;8200;40
insert;42077;true;3600;83
insert;28390;true;2500;42
insert;93213;true;4600;273
insert;16567;true;5100;308
insert;36502;true;10700;49
insert;65405;true;1800;151
insert;7331;true;4200;215
insert;41523;true;1900;81
insert;75120;true;3600;254
insert;10537;true;3400;248
insert;24378;true;1400;27
insert;26570;true;1100;23
insert;88432;true;3300;224
insert;84529;true;2400;193
insert;96851;true;5000;308
insert;67096;true;2200;171
